datetime,open,high,low,close,volume
2014-09-17,49912.671875,50192.9375,48992.77734375,49639.03515625,2285505072
2014-09-18,49587.58203125,49564.73828125,44929.19140625,46179.07421875,3751772160
2014-09-19,46142.40625,46711.0234375,41829.390625,43036.7109375,4133626497
2014-09-20,43023.3046875,46143.49609375,42501.14453125,44574.625,4018501036
2014-09-21,44485.34375,44958.55859375,42860.66015625,43451.55078125,2895901895
2014-09-22,43481.9453125,44313.15234375,43291.140625,43721.96484375,2623152672
2014-09-23,43715.4453125,48067.89453125,42920.01953125,47300.75390625,4895099730
2014-09-24,47296.4140625,47374.84765625,45713.87890625,46264.76953125,3348220164
2014-09-25,46259.4140625,46256.8515625,44529.64453125,44688.70703125,2911507552
2014-09-26,44672.9609375,45066.4140625,43640.98046875,44191.51953125,2345021616
2014-09-27,44096.5625,44431.6953125,43420.83984375,43655.55078125,1642251611
2014-09-28,43650.1953125,43819.12890625,40925.71875,41263.6015625,2583295020
2014-09-29,41235.92578125,42103.5625,40775.16796875,41076.08984375,3555248380
2014-09-30,41144.02734375,42870.625,40835.9921875,42424.5390625,3805308372
2014-10-01,42477.49609375,43000.80859375,41604.0234375,41814.03515625,2859004600
2014-10-02,41854.69140625,41922.80078125,40412.4296875,40695.3125,2362880450
2014-10-03,40707.13671875,41149.87109375,39275.02734375,39456.44140625,3391406700
2014-10-04,39498.1484375,40002.44921875,35765.98828125,36093.04296875,5184205875
2014-10-05,36098.53125,37512.66015625,31750.234375,35188.79296875,9146395860
2014-10-06,35175.5078125,37678.27734375,33151.5,35932.40234375,8601224548
2014-10-07,35987.375,37022.02734375,34807.55078125,36325.0078125,5316049195
2014-10-08,36317.33203125,38324.46875,35460.6328125,38170.4609375,5919730845
2014-10-09,38149.6953125,41368.85546875,37491.08984375,39357.1015625,9018183833
2014-10-10,39320.5546875,40402.21484375,38081.1796875,38922.15234375,4700612605
2014-10-11,38900.62109375,39528.11328125,38318.125,39001.48828125,1436610780
2014-10-12,39034.53515625,40701.78125,38338.90234375,40629.6640625,1883942024
2014-10-13,40562.26171875,42491.265625,39542.0703125,41793.8203125,3770450870
2014-10-14,41930.62890625,44113.44140625,41906.88671875,43017.359375,4130522865
2014-10-15,43026.48046875,43134.82421875,41170.3203125,41849.88671875,2678565271
2014-10-16,41822.85546875,42269.5546875,39664.8046875,40715.43359375,2872545700
2014-10-17,40736.72265625,41188.32421875,39993.9453125,41004.54296875,1453234795
2014-10-18,41027.8359375,42222.6328125,40493.05078125,41825.578125,1219885080
2014-10-19,41805.48828125,42092.3828125,41292.9296875,41739.8515625,633746176
2014-10-20,41706.1015625,41785.80078125,40476.74609375,40918.47265625,1754862720
2014-10-21,40873.15625,41918.88671875,40657.83984375,41356.69140625,1518354189
2014-10-22,41318.48828125,41542.66015625,40896.8203125,41055.37890625,1247365295
2014-10-23,41034.37890625,41265.59375,38596.08203125,38766.3828125,2861578304
2014-10-24,38785.203125,39334.6875,38164.00390625,38751.4296875,1685437598
2014-10-25,38780.19140625,38915.3671875,37078.71875,37553.88671875,1960307850
2014-10-26,37577.2421875,38846.16015625,37192.69921875,38368.33203125,1219346325
2014-10-27,38376.23046875,38639.01171875,37765.37890625,38066.3359375,1405478720
2014-10-28,38090.70703125,38899.87109375,38022.3203125,38665.66015625,848296546
2014-10-29,38608.4609375,38685.328125,36471.90234375,36522.3671875,1979911541
2014-10-30,36535.2109375,38319.69921875,36640.12109375,37717.6640625,3296332017
2014-10-31,37685.33203125,38034.359375,37729.5625,37986.68359375,1408597512
2014-11-01,38023.62109375,38234.59375,36048.0546875,36575.09765625,1872516016
