date,price
1871-01-01,1
1874-01-01,1.00000
1875-01-01,1.04167
1876-01-01,1.11111
1877-01-01,1.06952
1878-01-01,1.15607
1879-01-01,1.17647
1880-01-01,1.12045
1881-01-01,1.12994
1882-01-01,1.13636
1883-01-01,1.13960
1884-01-01,1.15607
1885-01-01,1.22324
1886-01-01,1.37457
1887-01-01,1.36986
1888-01-01,1.37931
1889-01-01,1.36054
1890-01-01,1.33779
1891-01-01,1.33333
1892-01-01,1.52672
1893-01-01,1.83486
1894-01-01,1.74672
1895-01-01,2.13904
1896-01-01,2.01511
1897-01-01,2.07792
1898-01-01,2.06186
1899-01-01,2.03046
1900-01-01,2.04082
1901-01-01,2.03562
1902-01-01,2.02532
1903-01-01,2.04082
1904-01-01,2.05656
1905-01-01,2.03562
1906-01-01,2.03046
1907-01-01,2.03046
1908-01-01,2.03046
1909-01-01,2.02532
1910-01-01,2.03046
1911-01-01,2.03046
1912-01-01,2.03046
1913-01-01,2.03562
1914-01-01,2.04082
1915-01-01,2.08333
1916-01-01,2.01005
1917-01-01,1.98511
1918-01-01,1.96560
1919-01-01,2.00501
1920-01-01,2.09424
1921-01-01,2.08877
1922-01-01,2.10526
1923-01-01,2.06186
1924-01-01,2.59740
1925-01-01,2.59740
1926-01-01,2.29885
1927-01-01,2.19178
1928-01-01,2.23464
1929-01-01,2.28571
1930-01-01,2.04082
1931-01-01,2.89855
1932-01-01,5.06329
1933-01-01,4.93827
1934-01-01,3.50877
1935-01-01,3.60360
1936-01-01,3.50877
1937-01-01,3.50877
1938-01-01,3.70370
1939-01-01,4.28945
